filepath,class_name,label,patient_id,split
data\brain_tumor\glioma\Te-gl_1.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_10.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_100.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_101.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_102.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_103.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_104.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_105.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_106.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_107.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_108.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_109.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_11.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_110.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_111.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_112.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_113.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_114.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_115.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_116.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_117.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_118.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_119.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_12.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_120.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_121.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_122.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_123.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_124.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_125.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_126.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_127.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_128.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_129.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_13.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_130.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_131.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_132.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_133.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_134.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_135.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_136.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_137.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_138.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_139.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_14.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_140.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_141.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_142.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_143.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_144.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_145.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_146.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_147.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_148.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_149.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_15.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_150.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_151.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_152.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_153.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_154.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_155.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_156.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_157.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_158.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_159.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_16.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_160.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_161.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_162.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_163.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_164.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_165.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_166.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_167.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_168.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_169.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_17.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_170.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_171.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_172.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_173.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_174.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_175.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_176.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_177.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_178.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_179.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_18.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_180.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_181.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_182.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_183.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_184.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_185.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_186.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_187.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_188.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_189.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_19.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_190.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_191.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_192.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_193.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_194.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_195.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_196.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_197.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_198.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_199.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_2.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_20.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_200.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_201.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_202.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_203.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_204.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_205.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_206.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_207.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_208.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_209.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_21.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_210.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_211.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_212.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_213.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_214.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_215.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_216.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_217.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_218.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_219.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_22.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_220.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_221.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_222.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_223.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_224.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_225.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_226.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_227.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_228.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_229.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_23.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_230.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_231.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_232.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_233.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_234.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_235.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_236.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_237.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_238.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_239.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_24.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_240.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_241.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_242.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_243.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_244.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_245.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_246.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_247.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_248.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_249.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_25.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_250.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_251.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_252.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_253.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_254.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_255.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_256.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_257.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_258.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_259.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_26.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_260.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_261.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_262.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_263.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_264.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_265.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_266.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_267.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_268.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_269.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_27.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_270.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_271.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_272.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_273.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_274.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_275.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_276.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_277.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_278.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_279.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_28.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_280.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_281.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_282.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_283.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_284.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_285.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_286.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_287.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_288.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_289.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_29.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_290.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_291.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_292.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_293.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_294.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_295.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_296.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_297.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_298.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_299.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_3.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_30.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_300.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_301.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_302.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_303.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_304.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_305.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_306.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_307.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_308.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_309.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_31.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_310.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_311.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_312.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_313.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_314.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_315.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_316.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_317.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_318.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_319.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_32.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_320.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_321.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_322.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_323.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_324.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_325.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_326.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_327.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_328.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_329.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_33.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_330.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_331.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_332.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_333.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_334.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_335.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_336.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_337.jpg,glioma,0,,test
data\brain_tumor\glioma\Te-gl_338.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_339.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_34.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_340.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_341.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_342.jpg,glioma,0,,train
data\brain_tumor\glioma\Te-gl_343.jpg,glioma,0,,val
data\brain_tumor\glioma\Te-gl_344.jpg,glioma,0,,train
